pplid	pplxid
2661496	6295265
2661496	6295264
2661496	6295263
2661496	6295262
2661496	6295261
2661496	6295260
2661496	6295259
2661496	6295258
2661496	6295257
2658269	6295256
2661496	6295255
2661496	6295254
2661496	6295253
2661496	6295252
2661496	6295251
2661496	6295250
2661496	6295249
6295535	6295242
6295535	6295241
6295535	6295239
6295535	6295238
6295535	6295237
6295535	6295228
6295535	6295227
6295217	6295195
6295206	6295194
2660121	6295193
2660121	6295192
2660121	6295191
2660121	6295190
2660121	6295189
2660121	6295188
2660121	6295187
2660121	6295186
6295547	6295185
6295547	6295184
6295547	6295183
6295524	6295180
6295524	6295179
6295524	6295178
6295524	6295177
6295524	6295175
6295524	6295174
6295524	6295173
6295524	6295169
6295524	6295167
6295520	6295166
6295524	6295165
6295524	6295164
6294931	6295162
6295524	6295160
6295524	6295157
6295524	6295156
6295524	6295155
6295524	6295150
6294923	6295149
6295520	6295148
6294980	6295147
6295520	6295145
6295520	6295143
2661362	6295140
2661362	6295139
2661362	6295138
2661362	6295137
6295531	6295135
6295531	6295134
6295531	6295133
6295531	2658627
6295547	6295131
2660121	6295130
2660121	6295129
6295531	6295127
6295531	6295126
6295531	6295125
6295531	6295123
6295531	6295122
6295547	6295121
6295531	6295120
2659385	6291620
2659385	6291619
6291607	6291609
6291607	6291608
6291607	6291606
6291602	6291600
6291602	6291597
6291601	6291596
6291602	6291594
6291602	6291593
6291607	2659448
6291627	6291587
6291572	6291577
6291627	6291576
6291627	6291575
6291572	6291573
6291572	6291569
6291625	6291565
6291625	6291564
6293909	6293903
6293885	6293860
6293885	2660335
2657900	6293723
2657900	6293722
2659307	6293721
6293342	6293720
2657900	6293719
2657900	6293718
2657900	6293717
2657900	6293716
6295548	6295466
6295548	6295463
6295548	6295458
6295548	6295457
6295532	6295454
6295532	6295451
6295540	6295448
6295540	6295447
6295540	6295444
6295533	6295440
2658056	6293715
2657900	6293714
2657900	6293713
2657900	6293712
2658056	6293711
2658056	6293710
2657900	6293709
2658056	6293708
2658056	6293707
2658056	6293706
2658056	6293705
6295528	6291561
6291627	6291559
6295528	6291558
6295528	6291553
6295528	6291551
6295528	6291550
6295528	6291549
6295528	6291548
6295528	6291547
6295528	6291546
6295522	6291518
6295522	6291517
6295522	6291516
6295522	6291515
6295522	6291514
6291706	6291510
6291706	6291509
6291505	6291506
6295521	6295498
6295532	6295497
6295532	2658007
2657896	6295496
6295540	6295495
6295546	6295494
6295546	6295493
6295523	6295492
6295523	6295491
6295523	6295490
2657896	6295489
6295533	2658656
6295550	2659310
6295533	6295484
2657896	6295483
2659392	6295481
2659392	6295477
6295521	6295475
6295539	6295473
6295533	6295436
6295533	6295435
6295523	6295432
2661058	6290737
2661058	6290732
2661058	6290731
2661058	6290730
2661058	6290729
2659443	6290728
2661058	6290727
2659332	6295405
2661058	6290726
2659332	6295404
2659332	6295403
2659332	6295402
2659332	6295401
2659332	6295400
2659332	6295399
2659332	6295398
2659332	6295397
2659332	6295396
2658269	6295376
6295281	6295375
2658269	6295374
2658269	6295373
2658269	6295372
6295549	6295656
2661496	6295653
2660805	6295647
2658388	6295645
2659358	6295644
2658927	6295640
6291629	6291776
6291629	6291774
6291629	6291773
6291629	6291771
6291629	6291770
6291629	6291767
2658927	6291718
6295547	6295112
6295536	6295111
6294820	2660394
6295536	6295110
2657970	6295109
6295536	6295108
6295551	6295107
6295520	6295079
2657970	6295078
6295520	6295077
6295536	6295047
6295536	6295046
6295536	6295044
6295051	6295043
6295536	6295042
6295525	6295041
6295536	2658004
6295545	6294994
6295545	6294993
6295545	6294992
6295545	6294991
6295545	6294990
6295545	6294986
6295545	2658614
6295525	6294952
6295525	6294951
6295525	6294950
6295525	6294949
6295525	6294948
6295525	6294947
6295531	6295103
6295536	6295102
6294820	6295099
6295536	6295093
2657970	6295092
6295517	6294610
6295517	6294608
6295517	6294607
6295517	6294605
6293910	6294594
6295517	2658105
2659515	6294592
2659515	6294555
2658216	6294552
2658216	6294551
2658216	6294550
2658216	6294549
2658216	6294548
2658216	6294547
6295514	6294538
6295514	6294537
6295514	6294535
6295514	6294534
6295514	6294533
6295514	6294532
6295514	6294531
2659631	6294497
2659631	6294496
2659631	6294493
2659631	6294492
2659631	6294491
2659720	6294443
2659720	6294442
2659720	6294441
6295530	6294440
6295530	6294439
6295530	6294438
6295530	6294436
6295530	6294435
6295530	6294434
2660515	6294426
2659515	6294425
2660515	6294423
2660515	6294422
2660515	6294421
2660515	6294420
2660515	6294419
2659083	6291709
2659083	6291708
2659083	6291707
6291677	6291701
6291674	6291700
2659083	6291686
2659083	6291685
2659083	6291683
2659083	6291682
2659083	6291660
6295522	6291652
2659269	6291651
2659269	6291650
2659269	6291649
2659269	6291648
2659269	6291647
2659269	6291646
2659269	6291645
2659269	6291644
2659269	6291643
2659269	6291642
6291627	6291621
2658269	6295371
2658269	6295370
2659392	6295366
2658724	6295359
2658724	6295358
2658724	6295357
2658724	6295356
2658724	6295355
2658724	6295354
2658724	6295353
2658724	6295352
2658724	6295351
6295368	6295350
2659332	6295349
2658724	6295348
2658724	6295347
2658724	6295346
6295537	6295342
6295537	6295341
6295537	6295340
6295345	6295339
6295345	6295338
6295345	6295336
6295345	2659306
2659392	6295335
2659392	6295334
2659392	6295333
2659392	6295332
2659392	6295331
2659392	6295329
6295428	6295327
6295529	6295326
6295537	6295325
6295537	6295324
6295537	6295323
6295537	6295322
6295537	6295321
6295537	6295320
6295537	6295319
6295537	6295318
2659332	6295306
6295429	6295305
2660515	6294418
2660515	6294417
2660515	6294416
2660515	6294415
2660515	6294414
2660515	6294413
2660515	6294412
2660515	6294411
2660515	6294410
6295538	6294316
6295538	6294315
6295518	6294308
6295518	6294307
6295518	6294306
6295518	6294305
2660971	6294304
2660971	6294303
2660971	6294302
2660971	6294301
2660971	6294300
2660971	6294299
2660971	6294298
2660971	6294297
2660971	6294296
2660971	6294295
2660971	6294289
2660971	6294288
2660971	6294287
2660971	6294285
6294626	6294281
6295514	6294280
2660971	6294279
2660971	6294276
2660971	6294275
2660971	6294274
2660971	6294271
2660971	6294270
2660971	6294269
2660971	6294268
2660971	6294267
2660971	6294266
2660971	6294265
2660971	6294264
2660971	6294263
2660971	6294262
2660971	6294260
2660971	6294258
2660971	6294257
2660971	6294256
2660971	6294255
